CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
36142529,6512,64,3262,0,3262,0,0,0,0,6470402,280541,5153806,6629,-10835867,0,0,0,0,12554503,0,10204321,0,7320871,0,0,0,0,0,7320871,0,7320871,0,7320871,5
8990884,6512,1063098,175587662,33818422,2813800,138955440,,,122700881,51288981,576722,1830889,49741179,-640292603,24300000,24300000,14213485,3226153,907018922,105482,135971298,0,0,0,0,12235727,,42622071	s,18706873,23915198,0,23915198,0,126
23545104,6511,228886,38400129,0,3439800,34960329,0,0,26141,21165289,1139252,2473216,3748880,33201363,65134786,65134786,0,0,27884257,897416,4222136,0,0,0,4448747,0,0,56503918,60463201,0,3959283,0,3959283,120
21112430,6512,1080158,25332323,0,0,25332323,,,726102,1652182,618278,1349843,516188,24622564,14977092,14977092,,864480,5050029,401659,880909,0,505900,0,0,827368,93905,10801522,10643184,158338,0,80514,0,25
9438013,6512,399070,16916305,4261300,1261228,11393777,,,7426099,11890615,489088,2075114,5410565,18447074,19760000,19760000,988591,333035,23424904,0,1657459,1927496,0,0,0,128468,,44708029,42746419,1961610,0,1448199,0,132
9827029,6511,1803540,84233190,12944647,38437318,32851225,,,45350900,39392282,1322024,5051018,2305500,53524967,28144875,28144875,5176239,26948381,91854690,144985,4154175,0,8700499,38429,0,1883870,363232,86970774,94811529,0,7840755,0,7840755,128
18892336,6512,3117490,69602543,23491,3416662,66162390,,,47889000,54189693,1553073,17323312,19835442,46775634,62700480,62700480,,14793,111208878,5401508,44781261,0,25149076,0,0,1994167,19932,138876283,161960338,0,23084055,0,23084055,239
12408250,6512,920331,28034399,14770999,1247561,12015839,,,48631058,36612985,872109,7203065,11653860,14185299,33288762,33288762,2777597,996626,89887571,149796,28636065,0,9349721,0,0,452048,363103,84316616,95285014,0,10968398,0,10968398,86
24617128,6512,123940,41562979,0,0,41562979,0,0,13269,17440948,824394,2069370,4384689,16955877,0,0,0,0,17395221,622583,31445908,21662808,0,0,0,0,0,117295652,97134086,20161566,0,17226750,0,27
24617136,6511,10468,10705284,0,0,10705284,0,0,0,2190977,331608,522517,723270,-947223,0,0,0,0,3357925,183312,11890110,0,0,407128,0,0,0,25241848,25075117,166731,0,129985,0,12
6120740,6512,30210359,2308969762,10123677,531287013,1435815141,,331743931,266817462,347292177,2384672,25937929,78994020,834846464,94393890,94393890,9795563,79868757,1538334946,62631765,250232577,79962242,0,9796259,0,103682219,9785373,1448189040,1262750649,185438391,0,161168520,0,1331
25569690,6511,0,147515614,0,107264,82984002,,64424348,2072899,16307504,376242,4255152,140629335,27736696,44477121,44477121,,110187,202389554,949905,13912800,0,0,2135063,0,,,163918434,161714685,2203749,0,2203749,0,27
35383472,6512,0,40387462,0,0,40387462,,,17266232,2268906,0,7040625,11325894,38834717,,,,0,19898538,0,19555864,4283117,0,0,0,790929,551446,17296758,11987826,5308932,0,4512968,0,3
24870553,6511,3038340,170711675,0,73740,133041177,,37596758,1502604,69456331,311946,4618369,19347085,65212440,36116500,36116500,,4600820,122788244,1615968,41029179,0,0,22129208,0,,,139956951,117024578,22932373,0,19284224,0,71
38330014,6512,0,0,0,0,0,,,0,0,668450,3494775,0,2315820,,,,0,0,0,1847405,0,0,0,0,,,,1178955,0,1178955,0,1178955,0
22795820,6512,0,0,0,0,0,,,0,3320026,0,4296557,0,7505345,,,,0,0,0,111238,0,53801,0,0,,,100862,73184,27678,0,27678,0,
14360018,6512,366243333,1125811893,82644114,67254780,975912999,0,0,407830561,384433495,1880917,8898200,137791801,704520025,463807666,463807666,37875910,18961056,1256872634,16183504,185095590,16643300,0,0,0,54844391,27575236,1134400962,1131324082,3076880,0,3076880,0,1167
21178923,6512,4458,0,0,0,0,0,0,31788700,59209925,565352,15441056,877028,28300903,0,0,0,0,64159010,0,8679486,8036158,0,0,0,770294,26830,30300219,19705958,10594261,0,8901985,0,31
8398697,6511,757759,424317915,55962609,1507643,366675556,0,172107,3978592,9255997,1181446,2276155,1587126,64392007,40000000,40000000,0,2950709,369569226,936261,4952780,0,3520176,0,1133902,1094440,228312,77482971,80389595,0,2906624,0,2906624,117
2886621,6511,9180873,1117719607,32517413,12790429,1030062889,0,42348876,168017429,128431079,5834585,10001833,41834582,387631529,178999222,178999222,29188027,22432627,899762313,18764807,112251443,41469589,0,13212019,0,28637803,4870402,926194426,858226065,67968361,0,56280965,0,446
10801286,6512,37106,39892523,4925303,0,34967220,,,27483066,26844545,410754,704550,1275152,21103993,20642300,20642300,3132526,1177612,55363186,0,19006431,0,2594040,0,0,3341892,2505510,48636351,51891452,0,3255101,0,3255101,22
2626923,6512,544639,73982632,28844622,0,45138010,,,2545158,4480674,530660,262068,4468239,-98523665,31256000,31256000,3506761,2080601,176714169,942961,7668708,0,5312050,0,0,2918295,722744,4749395,10691628,0,5942233,0,5942233,18
10509908,6512,84051,86591900,0,0,86591900,,,885290,6158188,260211,3686205,4953878,66102792,50000000,50000000,,3674894,26564003,0,9837476,8718864,0,0,0,2531132,157517,38050616,22617001,15433615,0,13106173,0,16
38335135,6512,2409445,12000,0,12000,0,,,1627886,4521117,256842,3726999,773638,-2045054,,,,0,4155420,0,8880493,0,2027760,0,0,,17294,2833603,4878657,0,2045054,0,2045054,16
21697068,6512,11080,50018328,0,1658909,46879101,1480318,,19384459,17898337,987960,5616854,7806772,30866695,26721810,26721810,,508770,53935532,483586,12213431,0,239954,0,0,1269042,425281,57916315,57584438,331877,0,269029,0,69
1813613,6512,14340124,604235274,11454211,14396486,578384577,0,0,355009568,131033713,1173476,24214991,24095912,193500900,323800600,323800600,11945359,1197500,650690453,0,47043555,0,12505147,0,0,27007860,14955723,646794020,646450944,343076,0,343076,0,875
26191737,6512,647622,217100419,0,9331,217091088,,,41067083,4451745,634841,15319465,7595811,110510800,19341819,19341819,,63642120,122240501,910396,52227524,32823899,0,0,0,3172335,,82185126,50632136,31552990,0,27042006,0,19
25252500,6512,24566,63656232,0,0,63656232,,,40072260,18966168,156327,4137790,2452713,17374902,37643996,37643996,,143800,62735651,4448204,24901464,0,365820,0,0,1210916,1001815,57640160,57427303,212857,0,212857,0,34
10392742,6512,1482943,252076588,116360270,84281903,51434415,,,867209936,165013994,2165059,386639529,81025597,197283253,93284350,93284350,8761982,142903849,1107441052,1275292,329124008,60274653,0,0,0,19905785,38234234,2087776319,2064095981,23680338,0,17062454,0,304
18066920,6511,2128953,1354903611,0,4181773,531267182,,819454656,15159964,48355571,326215,10983017,8942849,156459338,135642430,135642430,,2734333,344171445,12434514,67114844,0,0,18913907,0,,,427493236,411289246,16203990,0,16203990,0,64
15837027,6512,0,14718656,6164450,5129481,3424725,,,5184,3177075,0,488297,0,17611150,14885000,14885000,3030391,199344,619580,0,74400,0,182245,0,0,207989,27511,1355330,1302541,52789,0,52789,0,9
9100488,6511,3152730,3523670689,0,11869262,1518216552,,1993584875,0,178868808,6178906,38569776,32947412,197127212,113991626,113991626,,22798325,1487295635,25065842,80314757,0,0,46480320,0,,,992602805,947676369,44926436,0,34333693,0,405
21112449,6511,2111191,167040788,0,0,55924943,,111115845,801363,9128258,729202,1629518,5487408,27892448,14371000,14371000,,1941614,37704592,480011,9780646,0,0,2754568,0,,,117937439,114927297,3010142,0,2657291,0,28
5328123,6512,560399,725503855,24745370,1109550,699648935,,,554938198,152703925,7621280,16695595,73199941,253562954,530525765,530525765,10489919,7121174,984970941,27000,211489515,81944475,0,0,0,42706408,20747376,1055400781,955424466,99976315,0,99976315,0,603
6291812,6512,3219690,958152377,69315538,13260615,873915225,0,1660999,50147921,291188490,14084343,10649976,58750319,226263335,122648464,122648464,50201699,15486244,1046636875,29841142,78109194,26264152,0,3207417,0,24540490,6650099,1412297695,1376614171,35683524,0,35683524,0,1503
15292051,6512,0,5157360,0,0,5157360,,,0,372541,15387,8841299,504789,14634185,22150152,22150152,,152232,0,0,136694,0,1679338,0,0,624644,449275,4890701,6286256,0,1395555,0,1395555,7
10062604,6511,3387,226270815,1558970,22678,224689167,,0,0,4477586,54707,1661426,2558152,79188040,156963426,156963426,1751299,2366200,149962876,3287205,1963031,0,0,37765071,0,,,30538988,-10111867,40650855,0,40650855,0,18
24484382,6512,164796,7097039,0,0,7097039,,,0,34973559,39010,19429908,6225825,10123289,,,,0,48017273,67021,9722554,9624046,0,0,0,80972,4,75494373,65457439,10036934,0,8620230,0,11
10347059,6512,0,7748843,0,5092,7743751,,,225476,10300,2834,11149555,1123,17697301,47032850,47032850,,337287,930154,240000,270683,0,1842537,0,0,101486,,1114221,2401917,0,1287696,0,1287696,7
7804274,6512,0,14150844,13545128,1311,604405,,,0,769795,6540,172356,49855,14450713,9450000,9450000,6771672,379735,442045,16890,159167,112367,0,0,0,561870,261036,4066831,3989288,77543,0,57789,0,18
24170290,6512,0,0,0,0,0,0,0,0,1512813,0,758198,0,-374430,0,0,0,0,1762577,796,858232,225785,0,0,0,0,0,3225567,2999782,225785,0,225785,0,4
29501352,6511,1953657,276888734,44687,0,233978456,,42865591,202994,36704578,1152002,2825509,8078340,-20503855,,,,0,263483634,132531,41827913,0,0,0,2194991,,,191564557,193759548,0,2194991,0,2194991,72
29195059,6512,0,120180023,0,120180023,0,,,53742524,9281426,0,10829827,5007488,99631374,,,,0,85067858,0,13959008,22877211,0,0,0,-881461,,49877213,28123410,21753803,0,18248628,0,16
35383464,6511,579338,996778426,0,0,657890799,,338887627,2638660,61208042,1276041,21719006,28171201,148020561,,,,0,541194448,21857610,40686457,0,0,23834457,0,,,389414856,364279000,25135856,0,19249155,0,131
336290,6512,19492475,1495201867,153788454,52188387,1279663113,0,9561913,372224367,227548263,1215166,33837932,104933018,472259561,424939437,424939437,133877110,7961924,1364030203,0,85274102,14082797,0,0,2928225,24817179,2139091,972337837,964747485,7590352,0,7590352,0,783
1589754,6511,6618691,85879358,20557324,138533,65183501,,,12327,7394227,109455,2856130,46408905,43549311,54983971,54983971,11961071,1054168,89442051,91265,12732036,0,0,4568741,0,,,68438776,64984210,3454566,0,3454566,0,397
