CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
6120740,6512,23622684,2622234656,10459020,635989665,1502356175,,473429796,193861933,343198419,1340963,18350054,136185446,982505924,94393890,94393890,10786394,79868757,1576381585,30307857,249668631,77364198,0,10208217,0,53765827,6585068,1650980648,1512097551,138883097,0,118796248,0,1067
35383464,6511,1334031,1136263837,0,0,713141716,,423122121,1150493,63605923,842854,42640018,75365779,83288043,,,,0,702224872,3482625,77241825,0,0,39464669,0,,,532101759,492350648,39751111,0,34724672,0,127
26191737,6512,1319883,384374365,0,228228,384146137,,,37487739,7942479,595688,1225678,9106351,187742644,19341819,19341819,,132763647,197541332,1669884,52920168,43524387,0,0,0,11706918,1940319,111689655,70680795,41008860,0,35152323,0,32
24170290,6512,0,1114250,0,0,1114250,0,0,0,6451996,13774,3091566,10418,2839702,0,0,0,0,6718095,107174,913146,3289284,0,0,0,28201,0,14341402,11008238,3333164,0,2839702,0,11
24617136,6511,94442,15111282,0,0,15111282,0,0,0,11610515,74841,1250762,5467017,915128,0,0,0,0,15408641,163772,17121318,0,0,1818206,0,0,0,28484550,26686683,1797867,0,1528687,0,5
10509908,6512,218230,180209801,0,24717,180185084,,,5577891,22787958,253606,141461794,13080444,115093369,50000000,50000000,,7323014,137575543,61350,110651414,31448671,0,0,0,3425637,1180471,175692230,133223606,42468624,0,36887255,0,17
7804274,6512,0,15821594,15710128,3310,108156,,,0,445532,228159,426809,30464,16073321,9450000,9450000,8738337,384247,244169,16890,562496,0,403918,0,0,53878,,771762,1300923,0,529161,0,529161,12
1589754,6511,6130624,144507497,13189782,126442,131191273,,,274341,16274316,419649,12333676,30328607,69994502,54983971,54983971,7617911,2100550,124747958,864489,11059489,0,0,4674191,0,,,99741769,95010913,4730856,0,4260052,0,516
15837027,4612,18754,15854750,5699930,7652558,2502262,,,868,2449294,12698,158290,0,16980565,15285000,15285000,2851091,231677,265694,0,1115557,0,2486097,0,0,938620,481196,2175048,3697124,0,1522076,0,1533533,8
38642415,6512,0,116213,0,0,116213,,,32881094,30515625,0,4731374,2130307,-4121142,,,,0,54341116,57826,17979637,0,3539695,0,0,,,84831072,88370767,0,3539695,0,3539695,14
35383472,6511,0,50718830,0,0,50718830,,,78996275,4907746,0,10664503,48854568,55873982,,,,0,83281749,0,54986191,3542477,0,0,0,1606486,443933,30687635,25248284,5439351,0,4622598,0,3
