CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
38335135,6512,987056,28788926,0,28788926,0,,,22394167,28355093,84882,6491759,3194821,4454083,,,,0,58669579,0,25790449,4650087,0,0,0,280177,,41893348,37029785,4863563,0,4182500,0,20
18892336,6512,1684600,58392991,0,2901273,55491718,,,38898035,56803075,580208,21874972,16978074,17611310,32710210,32710210,,14793,125548215,3428304,45506926,0,25196860,0,0,3311286,10851,114022338,135574409,0,21552071,0,21552071,135
18066920,6511,3332059,1746371459,0,27857647,1209714665,,508799147,25221369,67008149,822462,64462698,11660853,231425906,135642430,135642430,,8335765,897275552,80398228,113664100,0,0,38640647,0,,,438791243,408802305,29988938,0,29988938,0,72
8990884,6512,1063875,33519453,28296648,5222210,595,,,72695614,16610959,364684,51827140,0,-703008667,24300000,24300000,11953502,5486136,275408754,208341,603476072,0,0,0,0,2335131,,10476000,10731143,0,255143,0,255143,26
12408250,6512,403833,10405711,9285121,1116895,3695,,,49967959,10328824,67771,16628311,918,-30488314,17500000,17500000,2777597,634841,82443982,1894635,31375446,0,7728478,0,0,852116,45760,748915,13274308,0,12525393,0,12525393,44
23545104,6511,1869637,54625254,0,516171,54109083,0,0,0,56461824,2477290,3581988,10463506,36972686,65134786,65134786,0,236667,67083038,2752389,14298071,0,0,10561635,0,0,0,137160787,133039800,4120987,0,4120987,0,143
25569690,6511,0,152035115,0,107264,128159518,,23768333,1998253,7359766,145735,14686846,78404390,34390387,75545844,75545844,,424723,181387717,3161548,4811286,0,0,0,14881226,,,26156972,40089604,0,13932632,0,13932632,26
336290,6512,19827012,1210354591,184128803,59710519,944570887,0,21944382,419902013,223352414,2036863,22481241,93127023,413954518,508995758,508995758,123637589,7961924,1107462567,38008966,73862021,0,21224683,2274010,0,48104385,25212012,862456326,874225452,0,11769126,0,11769126,663
2886621,6511,42312967,1158249936,19303587,31570952,1058846155,,48529242,156139870,141745007,6796517,12961764,121588719,420974359,178999222,178999222,20662861,46028017,971050361,46361128,131530117,31985289,0,6468750,0,32510407,3046683,974098297,928886106,45212191,0,36443928,0,393
24870553,6511,13992341,451583642,40352,611035,103209165,,347723090,1606072,72107381,1163751,33121497,19822540,50715163,36116500,36116500,,6355071,148684938,3119598,42221329,0,0,4772658,0,,,309661228,302914077,6747151,0,5589188,0,135
10392742,6512,2253789,162300763,82866812,58155220,21278731,,,2199838680,631825103,5016701,615643070,200761958,226750165,93284350,93284350,2170203,147738098,2583119036,3943004,642479968,33109537,0,0,0,12981017,45448102,4069989711,4093683949,0,23694238,0,23694238,416
38330014,6512,34715,20215032,0,0,20215032,,,9574713,3367200,435610,7954797,54616,15238144,,,,0,16131924,0,10266615,0,4266662,0,0,209679,,12339118,16285209,0,3946091,0,3946091,9
14360018,6512,218179443,1336250991,147887543,59303796,1129059652,0,0,451655629,543711168,2485907,15486946,173955732,721360507,506352385,506352385,21742302,21070875,1540974592,22925216,261827380,33527973,0,0,0,49391124,15486410,1452455300,1410258919,42196381,0,26546170,0,1131
25252500,6512,279210,57677534,0,0,57677534,,,41544241,20656618,241331,246231,4900440,34566640,38821998,38821998,,191931,67781690,4691446,17795477,0,955838,0,0,1857740,737468,66076992,65593650,483342,0,483342,0,41
5328123,6512,1891728,477705681,23578289,1109550,453017842,,,711626854,208363056,3815495,86913112,98283867,43501031,532823413,532823413,9264748,8697366,1315225259,450000,132986438,0,217953194,0,0,27136730,27187183,1339549446,1562709279,0,223159833,0,223159833,523
21178923,6512,146,1632182,1280291,0,351891,,,31883548,97813746,471771,34372398,1733643,50288508,,,,0,81223312,2798369,33300496,705357,0,0,0,1789806,206175,97496967,88303710,9193257,0,7645527,0,142
36142529,6512,0,0,0,0,0,0,0,0,28923836,812170,6849819,4005426,180018,0,0,0,0,32663238,198130,7549865,13597462,0,0,0,0,0,13621818,0,13621818,0,13423688,0,12
9100488,6511,3320160,4236693309,0,33812699,1805001034,,2397879576,0,230721424,5909593,46736838,77029418,244533340,120491626,120491626,,24098325,1797871350,49463829,108012647,0,0,99742721,0,,,1086078028,990087216,95990812,0,82596142,0,345
42898560,6512,2756797,0,0,0,0,,,510907,466014,36570,29398310,192587,26401951,31892000,31892000,,0,718928,1162804,5075951,0,6113353,0,0,371725,,975820,6465869,0,5490049,0,5490049,25
29501352,6511,3726944,427439352,3437,0,376303738,,51132177,75707,63031984,492009,1391802,1058239,-39471092,,,,0,435259552,745159,49550241,0,0,0,1799242,,,227398473,229197715,0,1799242,0,1799242,93
28620754,6512,2804895,59525,0,0,59525,,,24473292,26026842,1730789,4517359,907736,12403279,,,,0,35565466,4901251,6085207,0,9080594,0,0,,,51965881,53759013,0,1793132,0,1793132,237
8398697,6511,117513,486288124,53260878,2563015,430241791,0,222440,64094493,19341985,1981528,4465343,7853961,50510385,71000000,71000000,0,2950709,509514508,690955,17303310,0,12294379,0,5241638,2311312,314827,194512832,211700935,0,17188103,0,17188103,199
1813613,6512,9741842,504286401,9915304,18590970,475780127,0,0,305212724,152578953,3667029,29839842,40703164,196669890,323800600,323800600,6969661,1511478,541762955,12628194,56430929,0,6929063,0,0,22689904,11273939,625871958,621795961,4075997,0,4075997,0,704
21697068,6512,44640,47244039,0,1309197,45764891,169951,,20122588,16969898,280358,5913755,6260357,26243609,26721810,26721810,,566805,51485366,2570923,12326890,269358,0,0,0,2181982,362988,47239068,46078373,1160695,0,1160695,0,74
6291812,6512,10034273,1022310639,68618360,8180065,943109666,0,2402548,78342718,384125310,11033898,20913891,88684426,176443934,122648464,122648464,50099212,16451775,1193563411,13654814,99879612,29927873,0,0,22830616,30683879,2775776,1492814572,1475553686,17260886,0,17260886,0,1365
10801286,6512,15413,29940972,5259000,0,24681972,,,11753113,33794717,363837,2922452,3148228,28923993,26354200,26354200,3541973,1070257,34868546,56713,15655855,152192,0,0,0,1990215,1384737,32226853,31603004,623849,0,623849,0,25
39557849,6512,66519,18158,0,18158,0,,,0,254475,32814,2418448,1055892,-389378,,,,0,3198122,133637,903925,0,1974564,0,0,,,5568089,7507247,0,1939158,0,1939158,8
21112430,6512,1980473,25192443,0,0,25192443,,,996210,1960493,368591,1394058,982969,25488944,22230274,22230274,,864480,4912813,205886,1874093,0,3748712,0,0,897135,331808,10875850,14010788,0,3134938,0,3134938,27
9438013,6512,521043,28870350,6312700,1128434,21429216,,,17184392,13308340,669212,2553939,10504220,26292842,19760000,19760000,1763309,791082,42873291,193461,2114524,3599694,0,0,0,1000569,,67519688,63192360,4327328,0,3383919,0,121
21112449,6511,2889186,81210551,0,0,81210551,,,558831,4702837,492355,2247600,2584472,31778647,14371000,14371000,,2264073,51691367,474361,10742584,0,0,0,1725031,,,21943018,23575362,0,1632344,0,1632344,28
9827029,6511,2091474,81206599,18362507,50657488,12186604,,,31003430,28626562,1487142,1148605,3831710,42498971,28144875,28144875,10650479,24313685,86319539,38731,5128424,0,8011770,0,329320,1368600,34332,79078166,86585635,0,7507469,0,7507469,133
24617128,6512,97818,64859177,0,0,64859177,0,0,45835,58760020,677121,5871742,21797291,19989555,0,0,0,0,66919778,587873,64611798,24222466,0,0,0,0,0,125938649,102934152,23004497,0,19989555,0,20
24484382,6512,411882,24453547,0,0,24453547,,,0,37866085,68057,6139615,13143769,10570441,,,,0,54938448,7954,16566112,11080820,0,0,0,471353,,88614015,76706784,11907231,0,9522805,0,10
