CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
10509908,6512,6113,107668208,0,0,107668208,,,4480734,28454450,419888,8094800,11069202,66899782,50000000,50000000,,4132920,58502670,0,34699573,7335843,0,0,0,998789,6563,60356101,51195567,9160534,0,7796990,0,17
29501352,6511,1845767,315210648,30937,0,271464700,,43715011,112394,45355080,841359,3102312,5603888,-25016598,,,,0,310768977,146918,42457140,0,0,0,4512743,,,172395392,176908135,0,4512743,0,4512743,64
21178923,6512,11015,1900434,1541690,0,358744,,,37340756,72791015,1719732,16484109,901148,34219072,,,,0,73844926,1320655,13599517,5641463,0,0,0,326899,191960,60449654,53231797,7217857,0,5918169,0,125
22795820,6512,0,0,0,0,0,,,0,3327589,0,4134610,0,7351623,,,,0,0,0,110576,0,164305,0,0,,,11043,164765,0,153722,0,153722,
35383464,6511,160753,1010207321,0,0,659120177,,351087144,1972431,60659337,953582,33920737,36545522,115403581,,,,0,593035397,3399710,56509126,0,0,33917935,0,,,383869754,350178285,33691469,0,31591321,0,125
38330014,6512,0,1137683,0,0,1137683,,,529839,833412,709492,1772851,93686,1530760,,,,0,778174,0,2768029,0,1893692,0,0,9957,,1209359,3107444,0,1898085,0,1898085,5
2626923,6512,543789,71954551,28206285,0,43748266,,,2545094,3643458,413385,344302,2675609,-98484238,31256000,31256000,3404381,2082572,172532681,599862,7471883,0,1345267,0,0,1653232,786821,2523767,2484341,39426,0,39426,0,15
10392742,6512,409353,242958850,105796020,78070409,59092421,,,978156776,157067827,3427820,381484927,104395026,243778114,93284350,93284350,4959930,145971730,1295940072,2143235,194721741,89506411,0,0,0,4892583,26028843,2451358735,2390001106,61357629,0,50908289,0,359
10801286,6512,39864,26034502,4864000,0,21170502,,,10352098,20727571,335544,2073602,2513289,21537680,20642300,20642300,3136567,1203642,26235283,57771,13019187,439647,0,0,0,1898283,1681693,25884821,25364231,520590,0,520590,0,22
8990884,6512,1063098,38793056,33818422,4974039,595,,,122700881,13302832,14404,93493233,49741179,-683852085,24300000,24300000,14213485,3226153,816564305,88275,186334354,0,0,0,0,769633,,1613752,12310651,0,10696899,0,10696899,59
6120740,6512,17491905,2366145306,9516792,543603355,1481816403,,331208756,229537244,375029140,2008104,18244349,128559734,876792137,94393890,94393890,9509374,79868757,1584965112,84694939,231263676,45698974,0,9123789,0,110217552,15154560,1635424079,1483584848,151839231,0,134445673,0,1221
9827029,6511,1899055,86978378,15187520,38086975,33703883,,,30780649,15584575,1491203,4355919,2699089,53402160,28144875,28144875,7347831,25580368,80017685,211116,7372700,0,2432818,0,147175,1501557,11660,75783465,78077864,0,2294399,0,2294399,131
24617136,6511,3561,9889824,0,0,9889824,0,0,0,2449098,200917,494336,680465,-1524618,0,0,0,0,4254787,122400,10865632,0,0,0,447750,0,0,27274529,27803021,0,528492,0,528492,7
21697068,6512,5216,49195764,0,1674831,46817153,703780,,21089011,17617067,778524,7183084,7548754,27315173,26721810,26721810,,508770,58812604,1912115,12614353,0,4103582,0,0,1735447,592148,62714399,66265921,0,3551522,0,3551522,79
1813613,6512,10907254,561868001,12121785,10673702,539072514,0,0,317645511,135113810,1163772,19518831,32391155,190400873,323800600,323800600,10275799,1197500,586146410,12628194,37813938,0,7502876,0,0,24581271,15839400,579417312,591804983,0,12387671,0,12387671,794
28620754,6512,264302,0,0,0,0,,,21495400,33305463,2325630,-460165,970456,7255459,,,,0,31621137,2175087,15981565,0,1069432,0,0,,,34569770,29515276,5054494,0,3216914,0,134
6291812,6512,3137739,1014414429,68995184,16747575,927575378,0,1096292,29652252,295558624,15611406,7253905,73538510,219619254,122648464,122648464,50099212,15588731,1080394061,56372329,77592742,0,10676117,0,4900801,22647045,1164373,1251364824,1258008905,0,6644081,0,6644081,1486
336290,6512,18453855,1478396095,205817540,43962425,1211671706,0,16944424,702430451,276028597,2116043,28966219,88741554,281009253,424939437,424939437,133367088,7961924,1392117552,46069271,74122254,0,130250480,0,7871619,22925102,650782,753517580,941809539,0,188291959,0,191250308,791
14360018,6512,307607925,1248757978,169240590,51347542,1028169846,0,0,421408969,396937043,1712657,23714199,142299682,656464858,463807666,463807666,37781192,18961056,1362942094,61271329,192984602,21229919,0,0,0,37433694,6661068,1163497958,1187830812,0,24332854,0,24332854,1155
25569690,6511,0,154518103,0,117943,102591126,,51809034,3422767,9404764,432826,5015353,161162216,34027410,44477121,44477121,,424723,236700309,3428900,8081059,0,0,8391274,0,,,133955361,127664646,6290715,0,6290715,0,30
7804274,6512,0,14949196,14343905,1311,603980,,,0,860637,316256,163682,43509,15185612,9450000,9450000,7443188,381583,381648,16890,390224,253586,0,0,0,146852,,2120221,2083266,36955,0,12597,0,15
8398697,6511,579124,448859192,55062032,2229783,391393013,0,174364,15288034,10025841,1038305,4182673,2894236,59505068,47500000,47500000,0,2950709,407221751,721922,11698728,0,5769052,2040453,0,3974127,175199,96287372,100309658,0,4022286,0,4022286,125
