CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
39557849,6512,76380,0,0,0,0,,,0,10,0,774899,7579,567588,,,,0,0,121322,169958,0,311709,0,0,,,176,433359,0,433183,0,433183,5
18892336,6512,2989349,59184181,0,2901273,56282908,,,66414565,62663365,1424840,65511588,25401328,40831978,80894230,80894230,,14793,170253345,10678681,55299730,0,52658483,0,0,2099696,16645,158579059,208897715,0,50318656,0,50318656,243
10347059,6512,0,0,0,0,0,,,0,3762,0,16357933,0,16152343,47032850,47032850,,337287,0,120000,89352,0,1762562,0,0,99755,,1610932,3155890,0,1544958,0,1544958,7
2886621,6511,42956470,1088516075,27113703,14960496,1005635453,0,40806423,156730346,148008016,5629119,12311128,73445387,402316255,178999222,178999222,25578621,26109415,924186375,23140680,118251551,23456980,0,8883144,0,34448172,7443283,942216206,890647021,51569185,0,42782015,0,446
12408250,6512,875680,34939832,14583132,1180166,19176534,,,23970138,42059917,481631,16120348,10277996,1547167,43288762,33288762,2777597,996626,69947622,442420,55252032,0,25477529,0,0,251747,277108,89814275,112114454,0,22300179,0,22300179,75
1589754,6511,6929833,101496211,20005458,136223,81354530,,,42093,10608065,84708,5740309,64378595,53532523,54983971,54983971,11961071,1553329,122242958,497018,9534829,0,0,8684641,0,,,93301157,83317945,9983212,0,9983212,0,445
38642415,6512,0,116213,0,0,116213,,,16262770,944903,0,8142510,4563590,-224383,,,,0,17097841,11337,7983527,0,209961,0,0,,,6717776,6942159,0,224383,0,224383,1
38335135,6512,1913482,5016365,0,5016365,0,,,12121180,11485584,209074,7158554,2216524,-843683,,,,0,25068538,39609,13257933,1320873,0,0,0,,121335,27881475,26680104,1201371,0,1201371,0,15
24484382,6512,655423,7132569,0,0,7132569,,,0,37042132,59127,20284991,12460357,11312394,,,,0,53172163,60000,13090042,6796127,0,0,0,77087,3,87408268,80231204,7177064,0,5845705,0,11
15837027,6512,9317,15555468,5824023,5248639,4482806,,,4310,2610078,22121,430098,0,17960527,15285000,15285000,2851091,207317,486119,0,61273,0,503635,0,0,408148,78512,1618049,1474727,143322,0,128677,0,9
24170290,6512,0,0,0,0,0,0,0,0,3282655,0,1379300,9465,167672,0,0,0,0,3761502,70296,628860,587278,0,0,0,0,0,7565965,6978687,587278,0,542102,0,7
23545104,6511,107121,38938273,0,3439800,35498473,0,0,5572,30813086,870595,1916805,5253565,32667031,65134786,65134786,0,0,37302798,1011151,5512620,0,0,0,27847,0,0,78291683,78826015,0,534332,0,534332,115
9100488,6511,2054538,3619590327,0,12109045,1595464002,,2012017280,0,195327183,5621361,44281701,47997983,207873379,113991626,113991626,,22798325,1584551918,21139237,89291279,0,0,70865441,0,,,898938854,833257844,65681010,0,55202721,0,351
25252500,6512,412118,63936938,0,0,63936938,,,41162534,18459793,446846,116496,2693424,34357078,38232182,18821998,,157096,65374418,4452213,22436069,271936,0,0,0,1845829,1938383,26487773,26221844,265929,0,265929,0,30
18066920,6511,4201051,1576641314,0,3917952,950875246,,621848116,19658956,48864964,953440,33722386,13297647,194754193,135646710,135646710,,5100533,659772718,70188553,87573757,0,0,33796329,0,,,398783408,429201295,0,30417887,0,30417887,68
5328123,6512,574347,641419264,25516828,1109550,614792886,,,614655612,106252173,7433364,22060708,86381525,310294296,532823413,532823413,10645941,8697366,1082807863,6366454,57064498,0,16711590,0,0,37973261,17646776,1071001826,1039477980,31523846,0,31523846,0,603
21112430,6512,1491108,24787498,0,0,24787498,,,566980,1503066,647151,1072013,380451,24188766,14977092,14977092,,864480,4230245,479373,1308175,0,1234483,0,0,867368,118091,11049236,11483034,0,433798,0,433798,27
26191737,6512,965883,253283034,0,9331,253273703,,,37607640,7694842,443750,28214629,7795552,136343825,19341819,19341819,,90684125,146794075,1225107,49953162,31530663,0,0,0,4893334,51474,92374377,62198756,30175621,0,25833026,0,23
9438013,6512,356131,20510421,4200969,1144490,15164962,,,11278931,12170029,383441,2535607,7103900,20303734,19760000,19760000,973415,461971,31113175,17533,1702075,2620218,0,0,0,213071,,55482202,52903475,2578727,0,1842808,0,129
35383472,6512,0,48719657,0,0,48719657,,,31926380,3402171,0,5428641,18598277,46408237,,,,0,34095816,0,27571073,8466616,0,0,0,1102278,608048,18097680,9131193,8966487,0,7573520,0,3
21112449,6511,2345870,137143217,0,0,64763375,,72379842,430287,8116893,847561,4325132,3883699,32498793,14371000,14371000,,2210738,42688519,468380,9087213,0,0,5376022,0,,,37936841,32554357,5382484,0,4606345,0,31
24617128,6512,34089,47528201,0,0,47528201,0,0,15504,16178761,711605,2743599,4694359,12447337,0,0,0,0,16693359,607364,42158058,15364863,0,0,0,0,0,125851045,111395147,14455898,0,12447912,0,23
24870553,6511,4732911,197758207,0,77500,102445854,0,95234853,1473334,69279539,495138,36738023,20346187,57635744,36116500,36116500,0,5354680,131212675,2230136,43689830,0,0,17638137,0,0,0,194835404,177872037,16963367,0,14134321,0,82
